id;edge;lane;pos;freq;road type
B170_DD_a;555845926;0;5;60;b
B170_DD_b;-56467558#1.126;0;5;60;b
B170_DD_c;247527802;0;5;60;b
B170_DD_c;247527802;1;5;60;b
B170_DD_d;4210250#0;0;5;60;b
B170_DD_d;4210250#0;1;5;60;b
B170_DW_a;30585074#1;0;5;60;b
B170_DW_a;30585074#1;1;5;60;b
B170_DW_b;23275765;0;5;60;b
B170_DW_b;23275765;1;5;60;b
B170_DW_c;828869474;0;5;60;b
B170_DW_c;828869474;1;5;60;b
B170_DW_d;362267221;0;5;60;b
B170_DW_d;362267221;1;5;60;b
B170_DW_e;-555845926;0;5;60;b
B170_DW_f;828869474.278;0;5;60;b
B170_DW_g;828869474.465;0;5;60;b
B170_DW_h;828869474.554;0;5;60;b